edo_nom,sexo,grupo_edad,conteo
Durango,Femenino,Jóvenes,73
Durango,Indeterminado,Adolescentes,0
Durango,Indeterminado,Adultos,0
Durango,Indeterminado,Adultos mayores,0
Durango,Indeterminado,Infancias,0
Durango,Indeterminado,Jóvenes,0
Durango,Masculino,Adolescentes,112
Durango,Masculino,Adultos,136
Durango,Masculino,Adultos mayores,34
Durango,Masculino,Infancias,9
Durango,Masculino,Jóvenes,182
Guanajuato,Femenino,Adolescentes,193
Guanajuato,Femenino,Adultos,75
Guanajuato,Femenino,Adultos mayores,11
Guanajuato,Femenino,Infancias,18
Guanajuato,Femenino,Jóvenes,144
Guanajuato,Indeterminado,Adolescentes,0
Guanajuato,Indeterminado,Adultos,0
Guanajuato,Indeterminado,Adultos mayores,0
Guanajuato,Indeterminado,Infancias,0
Guanajuato,Indeterminado,Jóvenes,0
Guanajuato,Masculino,Adolescentes,111
Guanajuato,Masculino,Adultos,222
Guanajuato,Masculino,Adultos mayores,36
Guanajuato,Masculino,Infancias,21
Guanajuato,Masculino,Jóvenes,406
Guerrero,Femenino,Adolescentes,38
Guerrero,Femenino,Adultos,16
Guerrero,Femenino,Adultos mayores,1
Guerrero,Femenino,Infancias,4
Guerrero,Femenino,Jóvenes,42
Guerrero,Indeterminado,Adolescentes,0
Guerrero,Indeterminado,Adultos,0
Guerrero,Indeterminado,Adultos mayores,0
Guerrero,Indeterminado,Infancias,0
Guerrero,Indeterminado,Jóvenes,0
Guerrero,Masculino,Adolescentes,27
Guerrero,Masculino,Adultos,89
Guerrero,Masculino,Adultos mayores,21
Guerrero,Masculino,Infancias,2
Guerrero,Masculino,Jóvenes,138
Hidalgo,Femenino,Adolescentes,266
Hidalgo,Femenino,Adultos,58
Hidalgo,Femenino,Adultos mayores,16
Hidalgo,Femenino,Infancias,32
Hidalgo,Femenino,Jóvenes,143
Hidalgo,Indeterminado,Adolescentes,1
Hidalgo,Indeterminado,Adultos,0
Hidalgo,Indeterminado,Adultos mayores,0
Hidalgo,Indeterminado,Infancias,0
Hidalgo,Indeterminado,Jóvenes,0
Hidalgo,Masculino,Adolescentes,133
Hidalgo,Masculino,Adultos,153
Hidalgo,Masculino,Adultos mayores,39
Hidalgo,Masculino,Infancias,36
Hidalgo,Masculino,Jóvenes,210
Jalisco,Femenino,Adolescentes,6
Jalisco,Femenino,Adultos,7
Jalisco,Femenino,Adultos mayores,0
Jalisco,Femenino,Infancias,0
Jalisco,Femenino,Jóvenes,14
Jalisco,Indeterminado,Adolescentes,0
Jalisco,Indeterminado,Adultos,0
Jalisco,Indeterminado,Adultos mayores,0
Jalisco,Indeterminado,Infancias,0
Jalisco,Indeterminado,Jóvenes,0
Jalisco,Masculino,Adolescentes,26
Jalisco,Masculino,Adultos,43
Jalisco,Masculino,Adultos mayores,11
Jalisco,Masculino,Infancias,1
Jalisco,Masculino,Jóvenes,98
Michoacán,Femenino,Adolescentes,126
Michoacán,Femenino,Adultos,62
Michoacán,Femenino,Adultos mayores,11
Michoacán,Femenino,Infancias,28
Michoacán,Femenino,Jóvenes,110
Michoacán,Indeterminado,Adolescentes,0
Michoacán,Indeterminado,Adultos,0
Michoacán,Indeterminado,Adultos mayores,0
Michoacán,Indeterminado,Infancias,0
Michoacán,Indeterminado,Jóvenes,1
Michoacán,Masculino,Adolescentes,133
Michoacán,Masculino,Adultos,363
Michoacán,Masculino,Adultos mayores,52
Michoacán,Masculino,Infancias,20
Michoacán,Masculino,Jóvenes,524
Morelos,Femenino,Adolescentes,100
Morelos,Femenino,Adultos,19
Morelos,Femenino,Adultos mayores,10
Morelos,Femenino,Infancias,28
Morelos,Femenino,Jóvenes,72
Morelos,Indeterminado,Adolescentes,0
Morelos,Indeterminado,Adultos,0
Morelos,Indeterminado,Adultos mayores,0
Morelos,Indeterminado,Infancias,0
Morelos,Indeterminado,Jóvenes,0
Morelos,Masculino,Adolescentes,84
Morelos,Masculino,Adultos,107
Morelos,Masculino,Adultos mayores,28
Morelos,Masculino,Infancias,39
Morelos,Masculino,Jóvenes,152
México,Femenino,Adolescentes,1498
México,Femenino,Adultos,279
México,Femenino,Adultos mayores,97
México,Femenino,Infancias,337
México,Femenino,Jóvenes,618
México,Indeterminado,Adolescentes,0
México,Indeterminado,Adultos,0
México,Indeterminado,Adultos mayores,0
México,Indeterminado,Infancias,0
México,Indeterminado,Jóvenes,0
México,Masculino,Adolescentes,755
México,Masculino,Adultos,826
México,Masculino,Adultos mayores,309
México,Masculino,Infancias,336
México,Masculino,Jóvenes,1164
Nayarit,Femenino,Adolescentes,126
Nayarit,Femenino,Adultos,20
Nayarit,Femenino,Adultos mayores,3
Nayarit,Femenino,Infancias,5
Nayarit,Femenino,Jóvenes,47
Nayarit,Indeterminado,Adolescentes,0
Nayarit,Indeterminado,Adultos,0
Nayarit,Indeterminado,Adultos mayores,0
Nayarit,Indeterminado,Infancias,0
Nayarit,Indeterminado,Jóvenes,0
Nayarit,Masculino,Adolescentes,75
Nayarit,Masculino,Adultos,96
Nayarit,Masculino,Adultos mayores,26
Nayarit,Masculino,Infancias,12
Nayarit,Masculino,Jóvenes,146
Nuevo León,Femenino,Adolescentes,659
Nuevo León,Femenino,Adultos,146
Nuevo León,Femenino,Adultos mayores,37
Nuevo León,Femenino,Infancias,61
Nuevo León,Femenino,Jóvenes,308
Nuevo León,Indeterminado,Adolescentes,0
Nuevo León,Indeterminado,Adultos,0
Nuevo León,Indeterminado,Adultos mayores,0
Nuevo León,Indeterminado,Infancias,0
Nuevo León,Indeterminado,Jóvenes,0
Nuevo León,Masculino,Adolescentes,346
Nuevo León,Masculino,Adultos,525
Nuevo León,Masculino,Adultos mayores,149
Nuevo León,Masculino,Infancias,54
